,index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt
0,1,2011-01-01,0,0,1,0,0,6,0,1,0.24,0.81,0.0,16
1,2,2011-01-01,0,0,1,1,0,6,0,1,0.22,0.8,0.0,40
2,3,2011-01-01,0,0,1,2,0,6,0,1,0.22,0.8,0.0,32
3,4,2011-01-01,0,0,1,3,0,6,0,1,0.24,0.75,0.0,13
4,5,2011-01-01,0,0,1,4,0,6,0,1,0.24,0.75,0.0,1
5,6,2011-01-01,0,0,1,5,0,6,0,2,0.24,0.75,0.0896,1
6,7,2011-01-01,0,0,1,6,0,6,0,1,0.22,0.8,0.0,2
7,8,2011-01-01,0,0,1,7,0,6,0,1,0.2,0.86,0.0,3
8,9,2011-01-01,0,0,1,8,0,6,0,1,0.24,0.75,0.0,8
9,10,2011-01-01,0,0,1,9,0,6,0,1,0.32,0.76,0.0,14
10,11,2011-01-01,0,0,1,10,0,6,0,1,0.38,0.76,0.2537,36
11,12,2011-01-01,0,0,1,11,0,6,0,1,0.36,0.81,0.2836,56
12,13,2011-01-01,0,0,1,12,0,6,0,1,0.42,0.77,0.2836,84
13,14,2011-01-01,0,0,1,13,0,6,0,2,0.46,0.72,0.2985,94
14,15,2011-01-01,0,0,1,14,0,6,0,2,0.46,0.72,0.2836,106
15,16,2011-01-01,0,0,1,15,0,6,0,2,0.44,0.77,0.2985,110
16,17,2011-01-01,0,0,1,16,0,6,0,2,0.42,0.82,0.2985,93
17,18,2011-01-01,0,0,1,17,0,6,0,2,0.44,0.82,0.2836,67
18,19,2011-01-01,0,0,1,18,0,6,0,3,0.42,0.88,0.2537,35
19,20,2011-01-01,0,0,1,19,0,6,0,3,0.42,0.88,0.2537,37
20,21,2011-01-01,0,0,1,20,0,6,0,2,0.4,0.87,0.2537,36
21,22,2011-01-01,0,0,1,21,0,6,0,2,0.4,0.87,0.194,34
22,23,2011-01-01,0,0,1,22,0,6,0,2,0.4,0.94,0.2239,28
23,24,2011-01-01,0,0,1,23,0,6,0,2,0.46,0.88,0.2985,39
24,25,2011-01-02,0,0,1,0,0,0,0,2,0.46,0.88,0.2985,17
25,26,2011-01-02,0,0,1,1,0,0,0,2,0.44,0.94,0.2537,17
26,27,2011-01-02,0,0,1,2,0,0,0,2,0.42,1.0,0.2836,9
27,28,2011-01-02,0,0,1,3,0,0,0,2,0.46,0.94,0.194,6
28,29,2011-01-02,0,0,1,4,0,0,0,2,0.46,0.94,0.194,3
29,30,2011-01-02,0,0,1,6,0,0,0,3,0.42,0.77,0.2985,2
30,31,2011-01-02,0,0,1,7,0,0,0,2,0.4,0.76,0.194,1
31,32,2011-01-02,0,0,1,8,0,0,0,3,0.4,0.71,0.2239,8
32,33,2011-01-02,0,0,1,9,0,0,0,2,0.38,0.76,0.2239,20
33,34,2011-01-02,0,0,1,10,0,0,0,2,0.36,0.81,0.2239,53
34,35,2011-01-02,0,0,1,11,0,0,0,2,0.36,0.71,0.2537,70
35,36,2011-01-02,0,0,1,12,0,0,0,2,0.36,0.66,0.2985,93
36,37,2011-01-02,0,0,1,13,0,0,0,2,0.36,0.66,0.1343,75
37,38,2011-01-02,0,0,1,14,0,0,0,3,0.36,0.76,0.194,59
38,39,2011-01-02,0,0,1,15,0,0,0,3,0.34,0.81,0.1642,74
39,40,2011-01-02,0,0,1,16,0,0,0,3,0.34,0.71,0.1642,76
40,41,2011-01-02,0,0,1,17,0,0,0,1,0.34,0.57,0.194,65
41,42,2011-01-02,0,0,1,18,0,0,0,2,0.36,0.46,0.3284,53
42,43,2011-01-02,0,0,1,19,0,0,0,1,0.32,0.42,0.4478,30
43,44,2011-01-02,0,0,1,20,0,0,0,1,0.3,0.39,0.3582,22
44,45,2011-01-02,0,0,1,21,0,0,0,1,0.26,0.44,0.3284,31
45,46,2011-01-02,0,0,1,22,0,0,0,1,0.24,0.44,0.2985,9
46,47,2011-01-02,0,0,1,23,0,0,0,1,0.22,0.47,0.1642,8
47,48,2011-01-03,0,0,1,0,0,1,1,1,0.22,0.44,0.3582,5
48,49,2011-01-03,0,0,1,1,0,1,1,1,0.2,0.44,0.4179,2
49,50,2011-01-03,0,0,1,4,0,1,1,1,0.16,0.47,0.3881,1
50,51,2011-01-03,0,0,1,5,0,1,1,1,0.16,0.47,0.2836,3
51,52,2011-01-03,0,0,1,6,0,1,1,1,0.14,0.5,0.3881,30
52,53,2011-01-03,0,0,1,7,0,1,1,1,0.14,0.5,0.194,64
53,54,2011-01-03,0,0,1,8,0,1,1,1,0.14,0.5,0.2836,154
54,55,2011-01-03,0,0,1,9,0,1,1,1,0.16,0.43,0.3881,88
55,56,2011-01-03,0,0,1,10,0,1,1,1,0.18,0.43,0.2537,44
56,57,2011-01-03,0,0,1,11,0,1,1,1,0.2,0.4,0.3284,51
57,58,2011-01-03,0,0,1,12,0,1,1,1,0.22,0.35,0.2985,61
58,59,2011-01-03,0,0,1,13,0,1,1,1,0.24,0.35,0.2836,61
59,60,2011-01-03,0,0,1,14,0,1,1,1,0.26,0.3,0.2836,77
60,61,2011-01-03,0,0,1,15,0,1,1,1,0.26,0.3,0.2537,72
61,62,2011-01-03,0,0,1,16,0,1,1,1,0.26,0.3,0.2537,76
62,63,2011-01-03,0,0,1,17,0,1,1,1,0.24,0.3,0.2239,157
63,64,2011-01-03,0,0,1,18,0,1,1,1,0.24,0.32,0.1045,157
64,65,2011-01-03,0,0,1,19,0,1,1,1,0.2,0.47,0.0,110
65,66,2011-01-03,0,0,1,20,0,1,1,1,0.2,0.47,0.1045,52
66,67,2011-01-03,0,0,1,21,0,1,1,1,0.18,0.64,0.1343,52
67,68,2011-01-03,0,0,1,22,0,1,1,1,0.14,0.69,0.1343,20
68,69,2011-01-03,0,0,1,23,0,1,1,1,0.18,0.55,0.1045,12
69,70,2011-01-04,0,0,1,0,0,2,1,1,0.16,0.55,0.1045,5
70,71,2011-01-04,0,0,1,1,0,2,1,1,0.16,0.59,0.1045,2
71,72,2011-01-04,0,0,1,2,0,2,1,1,0.14,0.63,0.1343,1
72,73,2011-01-04,0,0,1,4,0,2,1,1,0.14,0.63,0.0896,2
73,74,2011-01-04,0,0,1,5,0,2,1,1,0.12,0.68,0.1045,4
74,75,2011-01-04,0,0,1,6,0,2,1,1,0.12,0.74,0.1045,36
75,76,2011-01-04,0,0,1,7,0,2,1,1,0.12,0.74,0.1343,94
76,77,2011-01-04,0,0,1,8,0,2,1,1,0.14,0.69,0.1642,179
77,78,2011-01-04,0,0,1,9,0,2,1,1,0.16,0.64,0.2239,100
78,79,2011-01-04,0,0,1,10,0,2,1,2,0.16,0.69,0.3284,42
79,80,2011-01-04,0,0,1,11,0,2,1,1,0.22,0.51,0.2985,57
80,81,2011-01-04,0,0,1,12,0,2,1,1,0.22,0.51,0.1642,78
