index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,day_night
1,2011-01-01,0,0,1,0,0,6,0,1,0.24,0.81,0.0,16,0
2,2011-01-01,0,0,1,1,0,6,0,1,0.22,0.8,0.0,40,0
3,2011-01-01,0,0,1,2,0,6,0,1,0.22,0.8,0.0,32,0
4,2011-01-01,0,0,1,3,0,6,0,1,0.24,0.75,0.0,13,0
5,2011-01-01,0,0,1,4,0,6,0,1,0.24,0.75,0.0,1,0
6,2011-01-01,0,0,1,5,0,6,0,2,0.24,0.75,0.0896,1,0
7,2011-01-01,0,0,1,6,0,6,0,1,0.22,0.8,0.0,2,1
8,2011-01-01,0,0,1,7,0,6,0,1,0.2,0.86,0.0,3,1
9,2011-01-01,0,0,1,8,0,6,0,1,0.24,0.75,0.0,8,1
10,2011-01-01,0,0,1,9,0,6,0,1,0.32,0.76,0.0,14,1
11,2011-01-01,0,0,1,10,0,6,0,1,0.38,0.76,0.2537,36,1
12,2011-01-01,0,0,1,11,0,6,0,1,0.36,0.81,0.2836,56,1
13,2011-01-01,0,0,1,12,0,6,0,1,0.42,0.77,0.2836,84,1
14,2011-01-01,0,0,1,13,0,6,0,2,0.46,0.72,0.2985,94,1
15,2011-01-01,0,0,1,14,0,6,0,2,0.46,0.72,0.2836,106,1
16,2011-01-01,0,0,1,15,0,6,0,2,0.44,0.77,0.2985,110,1
17,2011-01-01,0,0,1,16,0,6,0,2,0.42,0.82,0.2985,93,1
18,2011-01-01,0,0,1,17,0,6,0,2,0.44,0.82,0.2836,67,1
19,2011-01-01,0,0,1,18,0,6,0,3,0.42,0.88,0.2537,35,1
20,2011-01-01,0,0,1,19,0,6,0,3,0.42,0.88,0.2537,37,1
21,2011-01-01,0,0,1,20,0,6,0,2,0.4,0.87,0.2537,36,1
22,2011-01-01,0,0,1,21,0,6,0,2,0.4,0.87,0.194,34,1
23,2011-01-01,0,0,1,22,0,6,0,2,0.4,0.94,0.2239,28,0
24,2011-01-01,0,0,1,23,0,6,0,2,0.46,0.88,0.2985,39,0
25,2011-01-02,0,0,1,0,0,0,0,2,0.46,0.88,0.2985,17,0
26,2011-01-02,0,0,1,1,0,0,0,2,0.44,0.94,0.2537,17,0
27,2011-01-02,0,0,1,2,0,0,0,2,0.42,1.0,0.2836,9,0
28,2011-01-02,0,0,1,3,0,0,0,2,0.46,0.94,0.194,6,0
29,2011-01-02,0,0,1,4,0,0,0,2,0.46,0.94,0.194,3,0
30,2011-01-02,0,0,1,6,0,0,0,3,0.42,0.77,0.2985,2,1
31,2011-01-02,0,0,1,7,0,0,0,2,0.4,0.76,0.194,1,1
32,2011-01-02,0,0,1,8,0,0,0,3,0.4,0.71,0.2239,8,1
33,2011-01-02,0,0,1,9,0,0,0,2,0.38,0.76,0.2239,20,1
34,2011-01-02,0,0,1,10,0,0,0,2,0.36,0.81,0.2239,53,1
35,2011-01-02,0,0,1,11,0,0,0,2,0.36,0.71,0.2537,70,1
36,2011-01-02,0,0,1,12,0,0,0,2,0.36,0.66,0.2985,93,1
37,2011-01-02,0,0,1,13,0,0,0,2,0.36,0.66,0.1343,75,1
38,2011-01-02,0,0,1,14,0,0,0,3,0.36,0.76,0.194,59,1
39,2011-01-02,0,0,1,15,0,0,0,3,0.34,0.81,0.1642,74,1
40,2011-01-02,0,0,1,16,0,0,0,3,0.34,0.71,0.1642,76,1
41,2011-01-02,0,0,1,17,0,0,0,1,0.34,0.57,0.194,65,1
42,2011-01-02,0,0,1,18,0,0,0,2,0.36,0.46,0.3284,53,1
43,2011-01-02,0,0,1,19,0,0,0,1,0.32,0.42,0.4478,30,1
44,2011-01-02,0,0,1,20,0,0,0,1,0.3,0.39,0.3582,22,1
45,2011-01-02,0,0,1,21,0,0,0,1,0.26,0.44,0.3284,31,1
46,2011-01-02,0,0,1,22,0,0,0,1,0.24,0.44,0.2985,9,0
47,2011-01-02,0,0,1,23,0,0,0,1,0.22,0.47,0.1642,8,0
48,2011-01-03,0,0,1,0,0,1,1,1,0.22,0.44,0.3582,5,0
49,2011-01-03,0,0,1,1,0,1,1,1,0.2,0.44,0.4179,2,0
50,2011-01-03,0,0,1,4,0,1,1,1,0.16,0.47,0.3881,1,0
51,2011-01-03,0,0,1,5,0,1,1,1,0.16,0.47,0.2836,3,0
52,2011-01-03,0,0,1,6,0,1,1,1,0.14,0.5,0.3881,30,1
53,2011-01-03,0,0,1,7,0,1,1,1,0.14,0.5,0.194,64,1
54,2011-01-03,0,0,1,8,0,1,1,1,0.14,0.5,0.2836,154,1
55,2011-01-03,0,0,1,9,0,1,1,1,0.16,0.43,0.3881,88,1
56,2011-01-03,0,0,1,10,0,1,1,1,0.18,0.43,0.2537,44,1
57,2011-01-03,0,0,1,11,0,1,1,1,0.2,0.4,0.3284,51,1
58,2011-01-03,0,0,1,12,0,1,1,1,0.22,0.35,0.2985,61,1
59,2011-01-03,0,0,1,13,0,1,1,1,0.24,0.35,0.2836,61,1
60,2011-01-03,0,0,1,14,0,1,1,1,0.26,0.3,0.2836,77,1
61,2011-01-03,0,0,1,15,0,1,1,1,0.26,0.3,0.2537,72,1
62,2011-01-03,0,0,1,16,0,1,1,1,0.26,0.3,0.2537,76,1
63,2011-01-03,0,0,1,17,0,1,1,1,0.24,0.3,0.2239,157,1
64,2011-01-03,0,0,1,18,0,1,1,1,0.24,0.32,0.1045,157,1
65,2011-01-03,0,0,1,19,0,1,1,1,0.2,0.47,0.0,110,1
66,2011-01-03,0,0,1,20,0,1,1,1,0.2,0.47,0.1045,52,1
67,2011-01-03,0,0,1,21,0,1,1,1,0.18,0.64,0.1343,52,1
68,2011-01-03,0,0,1,22,0,1,1,1,0.14,0.69,0.1343,20,0
69,2011-01-03,0,0,1,23,0,1,1,1,0.18,0.55,0.1045,12,0
70,2011-01-04,0,0,1,0,0,2,1,1,0.16,0.55,0.1045,5,0
71,2011-01-04,0,0,1,1,0,2,1,1,0.16,0.59,0.1045,2,0
72,2011-01-04,0,0,1,2,0,2,1,1,0.14,0.63,0.1343,1,0
73,2011-01-04,0,0,1,4,0,2,1,1,0.14,0.63,0.0896,2,0
74,2011-01-04,0,0,1,5,0,2,1,1,0.12,0.68,0.1045,4,0
75,2011-01-04,0,0,1,6,0,2,1,1,0.12,0.74,0.1045,36,1
76,2011-01-04,0,0,1,7,0,2,1,1,0.12,0.74,0.1343,94,1
77,2011-01-04,0,0,1,8,0,2,1,1,0.14,0.69,0.1642,179,1
78,2011-01-04,0,0,1,9,0,2,1,1,0.16,0.64,0.2239,100,1
79,2011-01-04,0,0,1,10,0,2,1,2,0.16,0.69,0.3284,42,1
80,2011-01-04,0,0,1,11,0,2,1,1,0.22,0.51,0.2985,57,1
81,2011-01-04,0,0,1,12,0,2,1,1,0.22,0.51,0.1642,78,1
82,2011-01-04,0,0,1,13,0,2,1,1,0.24,0.56,0.194,97,1
83,2011-01-04,0,0,1,14,0,2,1,1,0.26,0.52,0.2239,63,1
84,2011-01-04,0,0,1,15,0,2,1,1,0.28,0.52,0.2537,65,1
85,2011-01-04,0,0,1,16,0,2,1,1,0.3,0.49,0.2537,83,1
86,2011-01-04,0,0,1,17,0,2,1,1,0.28,0.48,0.2239,212,1
87,2011-01-04,0,0,1,18,0,2,1,1,0.26,0.48,0.194,182,1
88,2011-01-04,0,0,1,19,0,2,1,1,0.24,0.48,0.1045,112,1
89,2011-01-04,0,0,1,20,0,2,1,1,0.24,0.48,0.1045,54,1
90,2011-01-04,0,0,1,21,0,2,1,1,0.22,0.64,0.0,48,1
91,2011-01-04,0,0,1,22,0,2,1,1,0.22,0.64,0.0896,35,0
92,2011-01-04,0,0,1,23,0,2,1,1,0.2,0.69,0.0896,11,0
93,2011-01-05,0,0,1,0,0,3,1,1,0.2,0.64,0.0,6,0
94,2011-01-05,0,0,1,1,0,3,1,1,0.16,0.74,0.0896,6,0
95,2011-01-05,0,0,1,2,0,3,1,1,0.16,0.74,0.0896,2,0
96,2011-01-05,0,0,1,4,0,3,1,1,0.24,0.48,0.2239,2,0
97,2011-01-05,0,0,1,5,0,3,1,1,0.22,0.47,0.1642,3,0
98,2011-01-05,0,0,1,6,0,3,1,1,0.2,0.47,0.2239,33,1
99,2011-01-05,0,0,1,7,0,3,1,1,0.18,0.43,0.194,88,1
100,2011-01-05,0,0,1,8,0,3,1,1,0.2,0.4,0.2985,195,1
101,2011-01-05,0,0,1,9,0,3,1,1,0.22,0.37,0.3284,115,1
102,2011-01-05,0,0,1,10,0,3,1,1,0.22,0.37,0.3284,57,1
103,2011-01-05,0,0,1,11,0,3,1,1,0.26,0.33,0.3284,46,1
104,2011-01-05,0,0,1,12,0,3,1,1,0.26,0.33,0.3284,79,1
105,2011-01-05,0,0,1,13,0,3,1,1,0.28,0.3,0.2985,71,1
106,2011-01-05,0,0,1,14,0,3,1,1,0.3,0.28,0.194,62,1
