index,date,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,cnt,day_night
5,2011-01-01,0,0,1,4,0,6,0,1,0.24,0.75,0.0,1,0
6,2011-01-01,0,0,1,5,0,6,0,2,0.24,0.75,0.0896,1,0
31,2011-01-02,0,0,1,7,0,0,0,2,0.4,0.76,0.194,1,1
50,2011-01-03,0,0,1,4,0,1,1,1,0.16,0.47,0.3881,1,0
72,2011-01-04,0,0,1,2,0,2,1,1,0.14,0.63,0.1343,1,0
119,2011-01-06,0,0,1,4,0,4,1,2,0.16,0.64,0.0896,1,0
141,2011-01-07,0,0,1,2,0,5,1,2,0.2,0.69,0.2239,1,0
142,2011-01-07,0,0,1,4,0,5,1,2,0.2,0.69,0.1343,1,0
166,2011-01-08,0,0,1,4,0,6,0,3,0.18,0.55,0.1642,1,0
190,2011-01-09,0,0,1,4,0,0,0,1,0.08,0.53,0.194,1,0
191,2011-01-09,0,0,1,5,0,0,0,1,0.08,0.53,0.194,1,0
192,2011-01-09,0,0,1,6,0,0,0,1,0.1,0.49,0.2836,1,1
211,2011-01-10,0,0,1,1,0,1,1,1,0.12,0.5,0.2836,1,0
213,2011-01-10,0,0,1,3,0,1,1,1,0.12,0.5,0.2239,1,0
258,2011-01-12,0,0,1,2,0,3,1,1,0.14,0.86,0.1343,1,0
304,2011-01-14,0,0,1,2,0,5,1,1,0.1,0.54,0.1343,1,0
305,2011-01-14,0,0,1,3,0,5,1,1,0.1,0.54,0.1045,1,0
330,2011-01-15,0,0,1,5,0,6,0,1,0.16,0.59,0.0,1,0
353,2011-01-16,0,0,1,4,0,0,0,1,0.26,0.56,0.1642,1,0
355,2011-01-16,0,0,1,6,0,0,0,2,0.26,0.56,0.1642,1,1
378,2011-01-17,0,0,1,5,1,1,0,2,0.18,0.43,0.1642,1,0
435,2011-01-20,0,0,1,3,0,4,1,1,0.26,0.56,0.1642,1,0
436,2011-01-20,0,0,1,4,0,4,1,1,0.26,0.56,0.1642,1,0
459,2011-01-21,0,0,1,3,0,5,1,3,0.22,0.8,0.2985,1,0
460,2011-01-21,0,0,1,4,0,5,1,2,0.22,0.87,0.0896,1,0
508,2011-01-23,0,0,1,6,0,0,0,2,0.04,0.57,0.1045,1,1
527,2011-01-24,0,0,1,1,0,1,1,1,0.04,0.45,0.194,1,0
528,2011-01-24,0,0,1,3,0,1,1,1,0.04,0.45,0.2537,1,0
529,2011-01-24,0,0,1,4,0,1,1,1,0.02,0.48,0.1343,1,0
552,2011-01-25,0,0,1,4,0,2,1,1,0.14,0.74,0.1045,1,0
575,2011-01-26,0,0,1,5,0,3,1,3,0.2,0.86,0.2836,1,0
599,2011-01-28,0,0,1,3,0,5,1,2,0.2,0.75,0.1045,1,0
646,2011-01-30,0,0,1,4,0,0,0,1,0.14,0.93,0.0,1,0
